25.10.2019 18:29:49
Operator: -
Dut-Name: -
DUT-Konfiguration: CH2: LS MOSFET D-S
CH7: flow sensor voltage (0.5-5V = 0-40 L/min)
CH8: PT1000 HS @1mA
CH9: PT1000 LS  @1mA

--Nr.--|----Zeit----|----MA3500-1----|---MA3500-2-1---|---MA3500-2-2---|---MA3500-2-3---|---MA3500-2-4---|---MA3500-2-5---|---MA3500-2-6---|---MA3500-2-7---|---MA3500-2-8---|---MA3500-2-9---|---MA3500-2-10--|------Vhmp2-----|------Ihmp2-----|------Vhmp3-----|------Ihmp3-----|------Vhmp4-----|------Ihmp4-----|-----Vps-1------|-----Ips-1------|----Temp.-1-----|----Temp.-2-----|----Temp.-3-----|----Temp.-4-----|----M-Schleif.----
    1  |  18:29:53  |   33,93334720  |    0,00030122  |    0,00000269  |   -0,00200466  |   -0,00158118  |    0,00030122  |   -0,00033400  |    0,62427347  |    1,07427776  |    1,07520936  |   -0,00012237  |   12,00000000  |    0,00000000  |    0,00000000  |    0,00000000  |    0,00000000  |    0,00020000  |    0,00000000  |    0,00000000  |   20,28519959  |  1328,72041162  |  1329,00483327  |  1329,14968694  |    1,00000000  |  
    2  |  18:30:08  |   33,68101440  |    0,00008869  |   -0,00000355  |   -0,00179370  |    0,00030043  |   -0,00033557  |   -0,00200545  |    0,62435667  |    1,07414280  |    1,07458368  |   -0,00200551  |   13,00000000  |    0,00000000  |    0,00000000  |    0,00000000  |    0,00000000  |    0,00010000  |    0,00000000  |    0,00000000  |   20,33055513  |  1328,72041162  |  1329,00483327  |  1329,14968694  |    1,00000000  |  
    3  |  18:30:22  |   33,70724160  |   -0,00012189  |   -0,00000200  |   -0,00054537  |   -0,00041868  |   -0,00179254  |   -0,00200429  |    0,61959994  |    1,07417632  |    1,07448768  |   -0,00200423  |   14,00000000  |    0,00000000  |    0,00000000  |    0,00000000  |    0,00000000  |    0,00020000  |    0,00000000  |    0,00000000  |   20,40725157  |  1328,72041162  |  1329,00483327  |  1329,14968694  |    1,00000000  |  
    4  |  18:30:36  |   33,52048000  |    0,00012458  |   -0,00000262  |   -0,00054632  |   -0,00054632  |   -0,00200524  |   -0,00200524  |    0,61962093  |    1,07310144  |    1,07343856  |   -0,00012280  |   15,00000000  |    0,00000000  |    0,00000000  |    0,00000000  |    0,00000000  |    0,00020000  |    0,00000000  |    0,00000000  |   20,32157846  |  1328,72041162  |  1329,00483327  |  1329,14968694  |    1,00000000  |  
    5  |  18:30:51  |   33,65817280  |   -0,00012195  |   -0,00000226  |   -0,00033369  |   -0,00044588  |   -0,00200434  |   -0,00221608  |    0,61957606  |    1,07402800  |    1,07431912  |   -0,00192194  |   16,00000000  |    0,00000000  |    0,00000000  |    0,00000000  |    0,00000000  |    0,00010000  |    0,00000000  |    0,00000000  |   20,36268236  |  1328,72041162  |  1329,00483327  |  1329,14968694  |    1,00000000  |  
    6  |  18:31:05  |   33,69040960  |    0,00030038  |   -0,00000376  |   -0,00012310  |   -0,00179376  |   -0,00179376  |   -0,00033484  |    0,62422106  |    1,07412384  |    1,07432576  |   -0,00158208  |   17,00000000  |    0,00000000  |    0,00000000  |    0,00000000  |    0,00000000  |    0,00020000  |    0,00000000  |    0,00000000  |   20,44032454  |  1328,72041162  |  1329,00483327  |  1329,14968694  |    1,00000000  |  
    7  |  18:31:19  |   33,47185280  |   -0,00158163  |   -0,00000272  |   -0,00115815  |    0,00051251  |   -0,00012272  |   -0,00221685  |    0,62433888  |    1,07288168  |    1,07308912  |    0,00008897  |   18,00000000  |    0,00000000  |    0,00000000  |    0,00000000  |    0,00000000  |    0,00010000  |    0,00000000  |    0,00000000  |   20,30520004  |  1328,72041162  |  1329,00483327  |  1329,14968694  |    1,00000000  |  
    8  |  18:31:34  |   33,55627520  |   -0,00027115  |   -0,00000223  |   -0,00075719  |    0,00008977  |   -0,00179263  |   -0,00200437  |    0,62422944  |    1,07347224  |    1,07371232  |   -0,00012198  |   19,00000000  |    0,00000000  |    0,00000000  |    0,00000000  |    0,00000000  |    0,00010000  |    0,00000000  |    0,00000000  |   20,28299482  |  1328,72041162  |  1329,00483327  |  1329,14968694  |    1,00000000  |  
    9  |  18:31:48  |   33,64200320  |   -0,00200506  |   -0,00000329  |   -0,00012266  |   -0,00054614  |   -0,00198603  |   -0,00179332  |    0,62438304  |    1,07407152  |    1,07426616  |   -0,00012264  |   20,00000000  |    0,00000000  |    0,00000000  |    0,00000000  |    0,00000000  |    0,00010000  |    0,00000000  |    0,00000000  |   20,40410179  |  1328,72041162  |  1329,00483327  |  1329,14968694  |    1,00000000  |  
   10  |  18:32:02  |   33,74308160  |    0,00008823  |    0,36027216  |   -0,00012354  |   -0,00221768  |   -0,00158245  |   -0,00221768  |    0,62436909  |    1,07373536  |    1,07526640  |   -0,00137066  |   12,00000000  |    0,00000000  |    0,00000000  |    0,00000000  |    0,00000000  |    0,00010000  |    0,39100000  |    5,19500000  |   20,38977029  |  1328,72041162  |  1329,00483327  |  1329,14968694  |    1,00000000  |  
