16.10.2019 10:50:48
Operator: -
x
--Nr.--|----Zeit----|----MA3500-1----|---MA3500-2-1---|---MA3500-2-2---|---MA3500-2-3---|---MA3500-2-4---|---MA3500-2-5---|---MA3500-2-6---|---MA3500-2-7---|---MA3500-2-8---|---MA3500-2-9---|---MA3500-2-10--|------Vhmp2-----|------Ihmp2-----|------Vhmp3-----|------Ihmp3-----|------Vhmp4-----|------Ihmp4-----|-----Vps-1------|-----Ips-1------|----Temp.-1-----|----Temp.-2-----|----Temp.-3-----|----Temp.-4-----|----M-Schleif.----
    1  |  10:52:29  |    0,00100016  |    0,51132586  |   -0,00008603  |    0,51128570  |    0,51091171  |    0,51146544  |    0,51223501  |    0,72970176  |    5,31371072  |    5,22863488  |    5,36647136  |    2,40000000  |    0,00490000  |    0,52000000  |    0,10010000  |    2,05600000  |    0,10010000  |    0,00000000  |    0,00000000  |   22,99287475  |   22,50525756  |  1329,00483327  |  1329,14968694  |    1,00000000  |  
    1  |  10:52:32  |    0,00100014  |   -0,48139901  |   -0,00008980  |   -0,48151616  |   -0,48140208  |   -0,48145635  |   -0,48152416  |    0,72964134  |    5,30147872  |    5,21681216  |    5,35520896  |    2,40000000  |    0,00490000  |    0,49000000  |    0,10010000  |    1,93600000  |    0,10010000  |    0,00000000  |    0,00000000  |   23,03180691  |   22,53723941  |  1329,00483327  |  1329,14968694  |    2,00000000  |  
    1  |  10:52:34  |    0,00100009  |    0,51103555  |   -0,00008169  |    0,51098323  |    0,51060403  |    0,51113939  |    0,51190643  |    0,73416410  |    5,28975328  |    5,20532320  |    5,34393824  |    2,40000000  |    0,00490000  |    0,52000000  |    0,10010000  |    2,05400000  |    0,10010000  |    0,00000000  |    0,00000000  |   23,08681715  |   22,60734854  |  1329,00483327  |  1329,14968694  |    3,00000000  |  
    1  |  10:52:37  |    0,00100006  |   -0,48117264  |   -0,00008628  |   -0,48129405  |   -0,48119949  |   -0,48124352  |   -0,48132960  |    0,72968147  |    5,27828224  |    5,19425248  |    5,33290592  |    2,40000000  |    0,00490000  |    0,49000000  |    0,10000000  |    1,93500000  |    0,10010000  |    0,00000000  |    0,00000000  |   23,16452665  |   22,64547596  |  1329,00483327  |  1329,14968694  |    4,00000000  |  
    1  |  10:52:40  |    0,00100011  |    0,51068563  |   -0,00007902  |    0,51067949  |    0,51031722  |    0,51086688  |    0,51162688  |    0,72968006  |    5,26712224  |    5,18333184  |    5,32198080  |    2,40000000  |    0,00500000  |    0,52000000  |    0,10010000  |    2,05300000  |    0,10010000  |    0,00000000  |    0,00000000  |   23,20645591  |   22,68486428  |  1329,00483327  |  1329,14968694  |    5,00000000  |  
    1  |  10:52:43  |    0,00100018  |   -0,48096477  |   -0,00008244  |   -0,48102995  |   -0,48092394  |   -0,48098730  |   -0,48106803  |    0,72970195  |    5,25580416  |    5,17222400  |    5,31099648  |    2,40000000  |    0,00490000  |    0,49000000  |    0,10010000  |    1,93400000  |    0,10010000  |    0,00000000  |    0,00000000  |   23,26998137  |   22,73796051  |  1329,00483327  |  1329,14968694  |    6,00000000  |  
    1  |  10:52:46  |    0,00100021  |    0,51046528  |   -0,00007844  |    0,51042387  |    0,51005632  |    0,51061341  |    0,51137021  |    0,72978387  |    5,24450912  |    5,16152512  |    5,30039296  |    2,40000000  |    0,00490000  |    0,51900000  |    0,10010000  |    2,05200000  |    0,10010000  |    0,00000000  |    0,00000000  |   23,35069051  |   22,79105764  |  1329,00483327  |  1329,14968694  |    7,00000000  |  
    1  |  10:52:48  |    0,00100016  |   -0,48075581  |   -0,00008089  |   -0,48083072  |   -0,48072080  |   -0,48078778  |   -0,48086813  |    0,72509338  |    5,23449216  |    5,15108672  |    5,28961088  |    2,40000000  |    0,00490000  |    0,49000000  |    0,10000000  |    1,93300000  |    0,10010000  |    0,00000000  |    0,00000000  |   23,39136114  |   22,83485951  |  1329,00483327  |  1329,14968694  |    8,00000000  |  
    1  |  10:52:51  |    0,00100007  |    0,51019091  |   -0,00007534  |    0,51017152  |    0,50981005  |    0,51036557  |    0,51113523  |    0,72527392  |    5,22577472  |    5,14200352  |    5,27979328  |    2,40000000  |    0,00490000  |    0,51900000  |    0,10010000  |    2,05100000  |    0,10010000  |    0,00000000  |    0,00000000  |   23,45110693  |   22,88228596  |  1329,00483327  |  1329,14968694  |    9,00000000  |  
    1  |  10:52:54  |    0,00100009  |   -0,48056624  |   -0,00008105  |   -0,48064506  |   -0,48054160  |   -0,48059651  |   -0,48068067  |    0,72504666  |    5,21716640  |    5,13335360  |    5,27051392  |    2,40000000  |    0,00490000  |    0,49000000  |    0,10010000  |    1,93300000  |    0,10010000  |    0,00000000  |    0,00000000  |   23,48957184  |   22,93869443  |  1329,00483327  |  1329,14968694  |   10,00000000  |  
    1  |  10:52:57  |    0,00100011  |    0,50998480  |   -0,00007275  |    0,50993069  |    0,50958560  |    0,51011885  |    0,51089667  |    0,72514195  |    5,20821920  |    5,12458144  |    5,26142560  |    2,40000000  |    0,00500000  |    0,51900000  |    0,10010000  |    2,05000000  |    0,10010000  |    0,00000000  |    0,00000000  |   23,55672892  |   22,97052313  |  1329,00483327  |  1329,14968694  |   11,00000000  |  
    1  |  10:53:00  |    0,00100010  |   -0,48039149  |   -0,00007741  |   -0,48038106  |   -0,48030048  |   -0,48034333  |   -0,48042621  |    0,72492902  |    5,19941088  |    5,11570208  |    5,25209472  |    2,40000000  |    0,00490000  |    0,48900000  |    0,10010000  |    1,93200000  |    0,09990000  |    0,00000000  |    0,00000000  |   23,62404508  |   23,02630290  |  1329,00483327  |  1329,14968694  |   12,00000000  |  
    1  |  10:53:02  |    0,00100027  |    0,50974947  |   -0,00007198  |    0,50972653  |    0,50935418  |    0,50989533  |    0,51067853  |    0,72498374  |    5,19048704  |    5,10689984  |    5,24292224  |    2,40000000  |    0,00500000  |    0,51900000  |    0,10000000  |    2,04900000  |    0,10010000  |    0,00000000  |    0,00000000  |   23,63744543  |   23,07341709  |  1329,00483327  |  1329,14968694  |   13,00000000  |  
